id,name,n_receiver,match,within,bracket
ac,alarm call,0,none,none,none
ae,end auto-groom,0,ao,none,close
ao,start auto-groom,0,ae,none,open
ap,approach,1,de do,none,open
at,approach together (mutually),1,de do,none,open
au,aggression unknown (did not see. aggressor == actor),1,none,none,none
be,both end body contact,1,sb bs,ap at,close
bi,bite,1,none,ap at,none
bo,body shake,0,none,none,none
bs,both start body contact,1,eb be,ap at,open
bt,bare teeth,1,none,none,none
ch,chase,1,none,none,none
cl,check look,0,none,none,none
co,copulate (within sb-eb),1,none,sb bs,none
cp,choose position (flee to boss),1,none,none,none
cr,crouch,1,none,none,none
da,dyadic agonistic,1,none,none,none
de,depart,1,ap at,none,close
do,depart together (mutually),1,ap at,none,close
eb,end body,1,sb bs,ap at,close
ec,end carry,1,sc,sb bs,close
ed,end doze,0,sd,none,close
ef,end feed,0,sf,none,close
eg,end groom,1,sg,sb bs,close
ek,end consort,1,sk,none,close
em,embrace,1,none,sb bs,none
eo,end object play,0,so,none,close
ep,end (social) play,1,sp,none,close
et,end travel,0,tn,none,close
fl,flee,1,none,none,none
fo,found (observer regained sight of focal animal),0,lo,none,close
fp,finish protocol (observer just did),0,none,none,none
fs,fear scream,0,none,none,none
gg,give ground,1,none,none,none
gp,groom present,1,none,none,none
gr,growl,0,none,none,none
gs,ground slap,1,none,none,none
hb,head bob,1,none,none,none
ib,(stand) in between,2,none,none,none
ie,inspect eye (taget: ass),1,none,ap at,none
if,initiative female (horny),1,none,ap at,none
ig,interference in grooming,2,none,none,none
ih,inspect hand (target: ass),1,none,ap at,none
ii,interference in friendly,2,none,none,none
im,initiative male (horny),1,none,ap at,none
in,inspect nose (target: ass),1,none,ap at,none
io,ignore (has modifier),1,none,none,none
is,interference in sexual,2,none,none,none
ki,kiss,1,none,ap at,none
li,lift,1,none,none,none
lo,lost (observer did focal animal),0,fo,none,open
ls,lip smack,1,none,none,none
lu,lunge,1,none,none,none
ma,masturbate,0,none,none,none
mb,mock bite,1,none,none,none
mo,mount,1,none,sb bs,none
mr,make room,1,none,none,none
ni,non-aggressive interference,2,none,none,none
om,open mouth,1,none,none,none
ot,open mouth bare teeth,1,none,none,none
pa,polyadic agonistic interaction,2,none,none,none
pc,policing,2,none,none,none
pf,play face,1,none,none,none
pg,pretend grab,1,none,ap at,none
po,point,1,none,none,none
pp,push and pull,1,none,ap at,none
pr,present (horny or submissive) (has modifier),1,none,none,none
pt,point teeth chatter,1,none,none,none
re,refuse sex,1,none,none,none
rg,repeated growl,0,none,none,none
rs,repeated scream,0,none,none,none
sb,start body,1,eb be,ap at,open
sc,start carry,1,ec,sb bs,open
sd,start doze,0,ed,none,open
sf,start feed,0,ef,none,open
sg,start groom,1,eg,sb bs,open
sk,start consort,1,ek,none,open
sl,slap,1,none,ap at,none
so,start object play,0,eo,none,open
sp,start (social) play,1,ep,none,open
sr,self scratch,0,none,none,none
st,stare,1,none,none,none
sw,sandwich (2 adults 1 juv),2,none,sb bs,none
tb,touch body,1,none,ap at,none
tc,teeth chatter,1,none,none,none
ti,take immature,1,none,sb bs,none
tn,travelling (== start),0,et,none,open
ts,tree shake,0,none,none,none
vg,vigilant,0,none,none,none
ya,yawn,0,none,none,none
