id,name,n_receiver,match,within
ac,alarm call,0,none,none
ae,end auto-groom,0,ao,none
ao,start auto-groom,0,ae,none
ap,approach,1,de do,none
at,approach together (mutually),1,de do,none
au,aggression unknown (did not see. aggressor == actor),1,none,none
be,both end body contact,1,sb bs,ap at
bi,bite,1,none,ap at
bo,body shake,0,none,none
bs,both start body contact,1,eb be,ap at
bt,bare teeth,1,none,none
ch,chase,1,none,none
cl,check look,0,none,none
co,copulate (within sb-eb),1,none,sb bs
cp,choose position (flee to boss),1,none,none
cr,crouch,1,none,none
da,dyadic agonistic,1,none,none
de,depart,1,ap at,none
do,depart together (mutually),1,ap at,none
dp,ERROR,,,
ea,ERROR,,,
eb,end body,1,sb bs,ap at
ec,end carry,1,sc,sb bs
ed,end doze,0,sd,none
ef,end feed,0,sf,none
eg,end groom,1,sg,sb bs
ek,end consort,1,sk,none
em,embrace,1,none,sb bs
em,end motion play,0,sm,none
eo,end object play,0,so,none
ep,end (social) play,1,sp,none
et,end travel,0,tn,none
fl,flee,1,none,none
fo,found (observer regained sight of focal animal),0,lo,none
fp,finish protocol (observer just did),0,none,none
fs,fear scream,0,none,none
gg,give ground,1,none,none
gp,groom present,1,none,none
gr,growl,0,none,none
gs,ground slap,1,none,none
hb,head bob,1,none,none
ib,(stand) in between,2,none,none
ie,inspect eye (taget: ass),1,none,ap at
if,initiative female (horny),1,none,ap at
ig,interference in grooming,2,none,none
ih,inspect hand (target: ass),1,none,ap at
ii,interference in friendly,2,none,none
im,initiative male (horny),1,none,ap at
in,inspect nose (target: ass),1,none,ap at
io,ignore (has modifier),1,none,none
is,interference in sexual,2,none,none
ki,kiss,1,none,ap at
li,lift,1,none,none
lo,lost (observer did focal animal),0,fo,none
ls,lip smack,1,none,none
lu,lunge,1,none,none
ma,masturbate,0,none,none
mb,mock bite,1,none,none
mo,mount,1,none,sb bs
mr,make room,1,none,none
mt,ERROR,,,
ni,non-aggressive interference,2,none,none
om,open mouth,1,none,none
ot,open mouth bare teeth,1,none,none
pa,polyadic agonistic interaction,2,none,none
pc,policing,2,none,none
pf,play face,1,none,none
pg,pretend grab,1,none,ap at
po,point,1,none,none
pp,push and pull,1,none,ap at
pr,present (horny or submissive) (has modifier),1,none,none
pt,point teeth chatter,1,none,none
re,refuse sex,1,none,none
rg,repeated growl,0,none,none
rs,repeated scream,0,none,none
sb,start body,1,eb be,ap at
sc,start carry,1,ec,sb bs
sd,start doze,0,ed,none
sf,start feed,0,ef,none
sg,start groom,1,eg,sb bs
sk,start consort,1,ek,none
sl,slap,1,none,ap at
sm,start motion play,0,em,none
so,start object play,0,eo,none
sp,start (social) play,1,ep,none
sr,self scratch,0,none,none
st,stare,1,none,none
sw,sandwich (2 adults 1 juv),2,none,sb bs
tb,touch body,1,none,ap at
tc,tooth chatter,1,none,none
ti,take immature,1,none,sb bs
tn,travelling (== start),0,et,none
ts,tree shake,0,none,none
vg,vigilant,0,none,none
ya,yawn,0,none,none
