date,time,focal
2020-12-01,1220,fee
2020-12-01,1300,gru
2020-12-01,1325,ruk
2020-12-01,1355,hil
2020-12-01,1430,mag
2020-12-01,930,coc
2020-12-01,1000,tar
2020-12-01,1035,nar
2020-12-01,1115,hon
2020-12-01,1330,rai
2020-12-01,1410,lay
2020-12-01,1445,nie
2020-12-01,1515,jos
2020-12-01,1550,her
2020-11-01,1515,lay
2020-11-01,1550,hil
2020-11-01,1630,mag
2020-10-01,1400,ros
2020-10-01,1445,pün
2020-10-01,1515,bir
2020-10-01,1545,nie
2020-10-01,1600,olg
2020-10-01,1640,rai
2020-10-01,1715,yan
2020-10-01,1745,hil
2020-10-01,1800,lay
2020-12-02,1015,waw
2020-12-02,1045,mia
2020-12-02,1115,coc
2020-12-02,1150,sof
2020-12-02,1220,fee
2020-12-02,1530,rai
2020-12-02,1600,prü
2020-12-02,1015,aff
2020-12-02,1045,sch
2020-12-02,1115,nie
2020-12-02,1150,lay
2020-12-02,1415,ulr
2020-12-02,1445,gru
2020-12-02,1515,mag
2020-12-02,1550,ros
2020-11-02,1320,olg
2020-11-02,1400,don
2020-11-02,1440,rai
2020-11-02,1510,yan
2020-12-03,1300,ruk
2020-12-03,1330,fee
2020-12-03,1400,pün
2020-12-03,1430,don
2020-12-03,1500,leo
2020-12-03,1530,olg
2020-12-03,1300,yan
2020-12-03,1335,her
2020-12-03,1410,coc
2020-12-03,1440,yel
2020-12-03,1515,nie
2020-12-03,1445,mia
2020-10-03,1330,yan
2020-10-03,1415,sta
2020-10-03,1445,hil
2020-10-03,1450,coc
2020-10-03,1520,kea
2020-10-03,1550,jos
2020-10-03,1630,nar
2020-10-03,1700,don
2020-10-03,1730,bir
2020-10-03,1800,sof
2020-10-03,1830,tar
2020-10-03,1900,mia
2020-12-04,1000,yan
2020-12-04,1036,sof
2020-12-04,1100,prü
2020-12-04,1140,kea
2020-12-04,1215,jos
2020-12-04,1430,ruk
2020-12-04,1505,don
2020-12-04,1540,yel
2020-12-04,1000,sch
2020-12-04,1030,bir
2020-12-04,1105,her
2020-12-04,1135,aff
2020-12-04,1210,lay
2020-12-04,1430,waw
2020-12-04,1505,hil
2020-12-04,1535,mag
2020-11-04,1130,sta
2020-11-04,1200,sof
2020-11-04,1230,hil
2020-11-04,1300,pün
2020-11-04,1520,don
2020-11-05,1550,yan
2020-10-04,1445,bir
2020-10-04,1515,leo
2020-10-04,1545,mag
2020-10-04,1600,ulr
2020-10-04,1630,gru
2020-10-04,1700,prü
2020-10-04,1730,fee
2020-10-04,1800,lay
2020-12-05,1200,sch
2020-12-05,1230,hon
2020-12-05,1300,nar
2020-12-05,1330,jos
2020-12-05,1400,tar
2020-12-05,1530,waw
2020-12-05,1610,hil
2020-12-05,1200,yan
2020-12-05,1235,gru
2020-12-05,1305,pün
2020-12-05,1345,prü
2020-12-05,1415,rai
2020-12-05,1450,mia
2020-12-05,1520,ulr
2020-11-05,800,ruk
2020-11-05,830,yel
2020-11-05,900,aff
2020-11-05,930,rai
2020-11-05,1000,pün
2020-11-05,1555,kea
2020-11-05,1630,ulr
2020-11-05,1700,ros
2020-10-05,900,mia
2020-10-05,930,nar
2020-10-05,1000,waw
2020-10-05,1030,bir
2020-10-05,1500,rai
2020-12-06,1230,mia
2020-12-06,1300,fee
2020-12-06,1330,kea
2020-12-06,1110,lay
2020-12-06,1145,leo
2020-12-06,1220,tar
2020-12-06,1250,ros
2020-11-06,945,jos
2020-11-06,1025,leo
2020-11-06,1105,her
2020-11-06,1140,waw
2020-11-06,1400,nar
2020-11-06,1435,gru
2020-11-06,1514,mia
2020-11-06,1545,olg
2020-11-06,1630,don
2020-10-06,800,hil
2020-10-06,830,olg
2020-10-06,900,ruk
2020-10-06,930,mia
2020-12-07,1020,nie
2020-12-07,1120,olg
2020-12-07,1345,kea
2020-12-07,1415,pün
2020-12-07,1450,don
2020-12-07,1515,gru
2020-12-07,1050,nar
2020-12-07,1020,hil
2020-12-07,1055,ulr
2020-12-07,1130,coc
2020-12-07,1345,bir
2020-12-07,1415,rai
2020-12-07,1520,tar
2020-12-07,1450,fee
2020-11-07,1515,yel
2020-11-07,1550,fee
2020-11-07,1630,yan
2020-10-07,800,aff
2020-10-07,830,sch
2020-10-07,930,fee
2020-10-07,1000,waw
2020-10-07,1030,jos
2020-12-08,1015,gru
2020-12-08,1050,lay
2020-12-08,1120,mag
2020-12-08,1150,hon
2020-12-08,1430,hil
2020-12-08,1500,kea
2020-12-08,1530,aff
2020-12-08,1015,sch
2020-12-08,1050,jos
2020-12-08,1120,her
2020-12-08,1155,prü
2020-12-08,1425,nie
2020-12-08,1500,coc
2020-12-08,1530,pün
2020-11-08,1213,hon
2020-11-08,1250,olg
2020-11-08,1330,nie
2020-11-08,1410,aff
2020-11-08,1630,tar
2020-12-09,1100,don
2020-12-09,1140,yan
2020-12-09,1210,sof
2020-12-09,1105,sch
2020-12-09,1135,bir
2020-12-09,1210,leo
2020-12-09,1520,mag
2020-12-09,1555,ros
2020-11-09,900,gru
2020-11-09,950,tar
2020-11-09,1025,her
2020-11-09,1100,ruk
2020-11-09,1130,yan
2020-11-09,1200,yel
2020-11-09,1245,don
2020-11-09,1430,hil
2020-11-09,1530,fee
2020-11-09,1600,hon
2020-11-09,1637,olg
2020-10-09,800,tar
2020-10-09,845,aff
2020-10-09,915,waw
2020-10-09,945,nie
2020-12-10,1540,olg
2020-12-10,1000,hon
2020-12-10,1045,waw
2020-12-10,1115,jos
2020-12-10,1150,yan
2020-12-10,1430,nar
2020-12-10,1510,sof
2020-12-10,1015,lay
2020-12-10,1045,ros
2020-12-10,1120,ulr
2020-12-10,1150,ruk
2020-12-10,1450,nie
2020-12-10,1550,hil
2020-12-10,1515,yel
2020-11-10,1520,pün
2020-11-10,1555,aff
2020-11-10,1630,ruk
2020-12-11,1100,aff
2020-12-11,1130,mag
2020-12-11,1200,ros
2020-12-11,1050,leo
2020-12-11,1135,yan
2020-12-11,1205,olg
2020-12-11,1425,ruk
2020-11-11,911,lay
2020-11-11,950,coc
2020-11-11,1022,hil
2020-11-11,1100,yan
2020-11-11,1135,sch
2020-11-11,1210,bir
2020-11-11,1520,ros
2020-11-11,1600,ruk
2020-11-11,1630,yel
2020-11-11,911,lay
2020-11-11,950,coc
2020-11-11,1022,hil
2020-11-11,1100,yan
2020-11-11,1135,sch
2020-10-11,800,prü
2020-11-12,1220,nie
2020-11-12,1300,kea
2020-11-12,1330,her
2020-11-12,1415,rai
2020-11-12,1500,ulr
2020-11-12,1530,mia
2020-11-12,1610,mag
2020-11-12,1220,nie
2020-11-12,1300,kea
2020-11-12,1330,her
2020-11-12,1415,rai
2020-11-12,1500,ulr
2020-11-12,1530,mia
2020-11-13,1015,jos
2020-11-13,1045,nie
2020-11-13,1120,coc
2020-11-13,1150,kea
2020-11-13,1230,ulr
2020-11-13,1300,mag
2020-11-13,1330,olg
2020-11-13,1600,aff
2020-11-13,1630,sta
2020-11-13,1705,nar
2020-11-13,1015,jos
2020-11-13,1045,nie
2020-11-13,1120,coc
2020-11-13,1150,kea
2020-11-13,1230,ulr
2020-11-13,1300,mag
2020-11-13,1330,olg
2020-11-13,1600,aff
2020-11-13,1630,sta
2020-11-13,1705,nar
2020-10-13,900,lay
2020-10-13,910,olg
2020-10-13,945,leo
2020-10-13,1020,jos
2020-10-13,1050,kea
2020-10-13,1130,hon
2020-10-13,1330,yel
2020-10-13,1410,fee
2020-10-13,1445,sch
2020-10-13,1530,rai
2020-10-13,1515,nie
2020-10-13,1530,her
2020-10-13,1600,coc
2020-10-14,910,fee
2020-10-14,940,ulr
2020-10-14,1000,hil
2020-10-14,1030,mag
2020-10-14,1100,waw
2020-11-15,1330,prü
2020-11-15,1400,sof
2020-11-15,1430,ulr
2020-11-15,1510,ros
2020-11-15,1630,jos
2020-11-15,1330,prü
2020-11-15,1400,sof
2020-11-15,1430,ulr
2020-11-15,1510,ros
2020-10-15,915,ulr
2020-10-15,950,mag
2020-10-15,1015,hon
2020-10-15,1100,prü
2020-10-15,1145,her
2020-10-15,1600,lay
2020-10-15,1620,ros
2020-10-15,1650,gru
2020-11-16,945,kea
2020-11-16,1025,mia
2020-11-16,1100,leo
2020-11-16,1130,bir
2020-11-16,1200,pün
2020-11-16,1430,prü
2020-11-16,1500,rai
2020-11-16,1540,don
2020-11-16,1610,sch
2020-11-16,1645,nie
2020-11-16,945,kea
2020-11-16,1025,mia
2020-11-16,1100,leo
2020-11-16,1130,bir
2020-11-16,1430,prü
2020-11-16,1500,rai
2020-11-16,1538,don
2020-11-16,1611,sch
2020-11-17,1530,lay
2020-11-17,1606,sof
2020-11-17,1530,lay
2020-11-17,1606,sof
2020-11-18,1000,nar
2020-11-18,1040,ros
2020-11-18,1115,pün
2020-11-18,1235,rai
2020-11-18,1500,fee
2020-11-18,1545,bir
2020-11-18,1615,ruk
2020-11-18,1650,prü
2020-11-18,1200,gru
2020-10-19,1000,ulr
2020-10-19,1045,kea
2020-10-19,1113,sch
2020-10-19,1145,her
2020-10-19,1220,bir
2020-10-19,1255,lay
2020-10-19,1330,mia
2020-10-19,1700,waw
2020-10-19,1730,nar
2020-10-19,1800,sof
2020-11-20,1115,nar
2020-11-20,930,lay
2020-11-20,1010,pün
2020-11-20,1045,aff
2020-11-20,1350,nie
2020-11-20,1420,kea
2020-11-20,1500,rai
2020-11-20,1535,sch
2020-11-20,1610,coc
2020-11-20,1535,sch
2020-11-20,930,lay
2020-11-20,1010,pün
2020-11-20,1045,aff
2020-11-20,1115,nar
2020-11-20,1350,nie
2020-11-20,1425,kea
2020-11-20,1500,rai
2020-11-20,1610,coc
2020-10-20,1550,leo
2020-10-20,1630,pün
2020-10-20,1700,jos
2020-10-20,1730,sta
2020-10-20,1800,ros
2020-11-21,915,ulr
2020-11-21,950,hon
2020-11-21,1030,bir
2020-11-21,1115,sof
2020-11-21,1145,aff
2020-11-21,1220,leo
2020-11-21,1300,fee
2020-11-21,1500,hil
2020-11-21,1540,waw
2020-11-21,1615,mag
2020-11-21,915,ulr
2020-11-21,950,hon
2020-11-21,1500,hil
2020-11-21,1530,waw
2020-11-21,1615,mag
2020-10-21,1015,yel
2020-10-21,1045,yan
2020-10-21,1120,coc
2020-10-21,1200,ruk
2020-10-21,1230,hon
2020-10-21,1730,waw
2020-10-21,1800,sch
2020-11-22,1510,lay
2020-11-22,1545,nar
2020-11-22,1615,tar
2020-11-22,1510,waw
2020-11-22,1545,prü
2020-11-22,1620,her
2020-10-22,1000,ruk
2020-10-22,1034,olg
2020-10-22,1100,sta
2020-10-22,1135,hon
2020-10-22,1210,coc
2020-10-22,1242,don
2020-10-22,1317,yel
2020-10-22,1345,rai
2020-10-22,1600,tar
2020-11-23,1115,leo
2020-11-23,1010,kea
2020-11-23,1040,rai
2020-11-23,1150,coc
2020-11-23,1220,sch
2020-11-23,1540,ros
2020-11-23,1620,mia
2020-11-23,1000,hil
2020-11-23,1045,gru
2020-11-23,1115,pün
2020-11-23,1145,her
2020-11-23,1230,bir
2020-11-23,1535,hon
2020-11-23,1620,sof
2020-10-23,1140,prü
2020-10-23,1210,coc
2020-11-24,950,don
2020-11-24,1030,nie
2020-11-24,1100,sch
2020-11-24,1130,jos
2020-11-24,1200,mag
2020-11-24,1240,ruk
2020-11-24,1500,ulr
2020-11-24,1530,waw
2020-11-24,1605,olg
2020-11-24,955,yan
2020-11-24,1030,leo
2020-11-24,1100,yel
2020-11-24,1135,ros
2020-11-24,1215,fee
2020-11-24,1500,pün
2020-11-24,1535,her
2020-11-24,1610,coc
2020-10-24,920,ruk
2020-10-24,1000,olg
2020-10-24,1030,tar
2020-10-24,1100,ros
2020-09-24,1630,hil
2020-09-24,1710,mag
2020-11-25,1420,sof
2020-11-25,1500,leo
2020-11-25,1430,sch
2020-11-25,1600,waw
2020-11-25,1415,bir
2020-11-25,1455,ros
2020-11-25,1530,yel
